Month,Year,MonthNum,Quarter,Category,Forecast_Revenue,Forecast_COGS,Avg_MoM_Growth_Used
Apr-25,2025,4,Q1,Packaged Snacks,877502.79,545877.11,0.0158
May-25,2025,5,Q1,Packaged Snacks,891351.56,554492.15,0.0158
Jun-25,2025,6,Q1,Packaged Snacks,905418.89,563243.16,0.0158
Jul-25,2025,7,Q2,Packaged Snacks,919708.24,572132.28,0.0158
Aug-25,2025,8,Q2,Packaged Snacks,934223.1,581161.69,0.0158
Sep-25,2025,9,Q2,Packaged Snacks,948967.03,590333.6,0.0158
Apr-25,2025,4,Q1,Beverages,766767.65,440478.38,0.0114
May-25,2025,5,Q1,Beverages,775526.57,445510.05,0.0114
Jun-25,2025,6,Q1,Beverages,784385.55,450599.19,0.0114
Jul-25,2025,7,Q2,Beverages,793345.73,455746.46,0.0114
Aug-25,2025,8,Q2,Beverages,802408.26,460952.53,0.0114
Sep-25,2025,9,Q2,Beverages,811574.31,466218.08,0.0114
Apr-25,2025,4,Q1,Dairy Products,925940.55,636436.6,0.0128
May-25,2025,5,Q1,Dairy Products,937815.29,644598.59,0.0128
Jun-25,2025,6,Q1,Dairy Products,949842.32,652865.26,0.0128
Jul-25,2025,7,Q2,Dairy Products,962023.6,661237.95,0.0128
Aug-25,2025,8,Q2,Dairy Products,974361.09,669718.01,0.0128
Sep-25,2025,9,Q2,Dairy Products,986856.81,678306.82,0.0128
Apr-25,2025,4,Q1,Bakery Items,502604.83,304558.97,0.02
May-25,2025,5,Q1,Bakery Items,512670.54,310658.4,0.02
Jun-25,2025,6,Q1,Bakery Items,522937.83,316879.98,0.02
Jul-25,2025,7,Q2,Bakery Items,533410.75,323226.16,0.02
Aug-25,2025,8,Q2,Bakery Items,544093.41,329699.44,0.02
Sep-25,2025,9,Q2,Bakery Items,554990.01,336302.36,0.02
