Month,Year,MonthNum,Quarter,Category,Type,Budget_Expense,Actual_Expense
Apr-24,2024,4,Q1,Salaries,Fixed,285000,285170
May-24,2024,5,Q1,Salaries,Fixed,286710,287576
Jun-24,2024,6,Q1,Salaries,Fixed,288420,291103
Jul-24,2024,7,Q2,Salaries,Fixed,290130,290249
Aug-24,2024,8,Q2,Salaries,Fixed,291840,293700
Sep-24,2024,9,Q2,Salaries,Fixed,293550,294384
Oct-24,2024,10,Q3,Salaries,Fixed,295260,296889
Nov-24,2024,11,Q3,Salaries,Fixed,296970,299732
Dec-24,2024,12,Q3,Salaries,Fixed,298680,300084
Jan-25,2025,1,Q4,Salaries,Fixed,300390,300970
Feb-25,2025,2,Q4,Salaries,Fixed,302100,303575
Mar-25,2025,3,Q4,Salaries,Fixed,303810,306054
Apr-24,2024,4,Q1,Rent,Fixed,95000,95648
May-24,2024,5,Q1,Rent,Fixed,95570,99318
Jun-24,2024,6,Q1,Rent,Fixed,96140,91504
Jul-24,2024,7,Q2,Rent,Fixed,96710,97246
Aug-24,2024,8,Q2,Rent,Fixed,97280,98038
Sep-24,2024,9,Q2,Rent,Fixed,97850,100145
Oct-24,2024,10,Q3,Rent,Fixed,98420,94768
Nov-24,2024,11,Q3,Rent,Fixed,98990,95069
Dec-24,2024,12,Q3,Rent,Fixed,99560,101119
Jan-25,2025,1,Q4,Rent,Fixed,100130,101022
Feb-25,2025,2,Q4,Rent,Fixed,100700,101457
Mar-25,2025,3,Q4,Rent,Fixed,101270,102323
Apr-24,2024,4,Q1,Utilities,Variable,32000,31347
May-24,2024,5,Q1,Utilities,Variable,32192,32416
Jun-24,2024,6,Q1,Utilities,Variable,32384,32669
Jul-24,2024,7,Q2,Utilities,Variable,32576,35135
Aug-24,2024,8,Q2,Utilities,Variable,32768,37879
Sep-24,2024,9,Q2,Utilities,Variable,32960,33429
Oct-24,2024,10,Q3,Utilities,Variable,37130,35803
Nov-24,2024,11,Q3,Utilities,Variable,37345,38081
Dec-24,2024,12,Q3,Utilities,Variable,33536,32555
Jan-25,2025,1,Q4,Utilities,Variable,33728,34524
Feb-25,2025,2,Q4,Utilities,Variable,33920,35099
Mar-25,2025,3,Q4,Utilities,Variable,34112,33272
Apr-24,2024,4,Q1,Marketing,Variable,55000,56590
May-24,2024,5,Q1,Marketing,Variable,55330,56015
Jun-24,2024,6,Q1,Marketing,Variable,55660,57033
Jul-24,2024,7,Q2,Marketing,Variable,55990,59176
Aug-24,2024,8,Q2,Marketing,Variable,56320,55905
Sep-24,2024,9,Q2,Marketing,Variable,56650,55369
Oct-24,2024,10,Q3,Marketing,Variable,76923,78716
Nov-24,2024,11,Q3,Marketing,Variable,77368,79343
Dec-24,2024,12,Q3,Marketing,Variable,57640,57507
Jan-25,2025,1,Q4,Marketing,Variable,57970,58563
