Month,Year,MonthNum,Quarter,Category,Budget_Volume,Budget_ASP,Actual_Volume,Actual_ASP,Budget_Revenue,Actual_Revenue,Budget_COGS_Rate,Budget_COGS,Actual_COGS_Rate,Actual_COGS
Apr-24,2024,4,Q1,Packaged Snacks,18000,45.0,18179,44.97,810000.0,817509.63,0.62,502200.0,0.6173639373459499,504700.96
May-24,2024,5,Q1,Packaged Snacks,18470,45.09,18709,45.43,832812.3,849949.87,0.62,516343.63,0.624285350858141,530611.25
Jun-24,2024,6,Q1,Packaged Snacks,18762,45.18,18674,45.13,847667.16,842757.62,0.62,525553.64,0.6377347285368982,537455.8
Jul-24,2024,7,Q2,Packaged Snacks,17958,45.27,18525,45.44,812958.66,841776.0,0.62,504034.37,0.6137807573807162,516665.91
Aug-24,2024,8,Q2,Packaged Snacks,17879,45.36,17711,45.48,810991.44,805496.28,0.62,502814.69,0.6102980767652817,491592.83
Sep-24,2024,9,Q2,Packaged Snacks,18540,45.45,18368,45.34,842643.0,832805.12,0.62,522438.66,0.6139789154769856,511324.78
Oct-24,2024,10,Q3,Packaged Snacks,22751,45.54,24226,46.0,1036080.54,1114396.0,0.62,642369.93,0.6309848254124248,703166.97
Nov-24,2024,11,Q3,Packaged Snacks,24383,45.63,24913,46.09,1112596.29,1148240.17,0.62,689809.7,0.6239450133159162,716438.73
Dec-24,2024,12,Q3,Packaged Snacks,20373,45.72,19670,45.59,931453.56,896755.3,0.62,577501.21,0.6136428775547955,550287.5
Jan-25,2025,1,Q4,Packaged Snacks,17454,45.81,15530,45.58,799567.74,707857.4,0.62,495732.0,0.6261592091973602,443231.43
Feb-25,2025,2,Q4,Packaged Snacks,18126,45.9,18240,45.69,831983.4,833385.6,0.62,515829.71,0.6211649305921765,517669.91
Mar-25,2025,3,Q4,Packaged Snacks,19188,45.99,18646,46.33,882456.12,863869.18,0.62,547122.79,0.6316237398863946,545640.28
Apr-24,2024,4,Q1,Beverages,27500,28.0,27376,28.01,770000.0,766801.76,0.58,446600.0,0.5715753628734718,438284.99
May-24,2024,5,Q1,Beverages,30180,28.06,29320,27.98,846850.8,820373.6,0.58,491173.46,0.5760680542408267,472591.02
Jun-24,2024,6,Q1,Beverages,29095,28.11,29160,27.95,817860.45,815022.0,0.58,474359.06,0.5752947021624141,468877.84
Jul-24,2024,7,Q2,Beverages,24178,28.17,21942,27.89,681094.26,611962.38,0.58,395034.67,0.5624378206224145,344190.79
Aug-24,2024,8,Q2,Beverages,23552,28.22,20914,27.94,664637.44,584337.16,0.58,385489.72,0.5835534433247749,340991.96
Sep-24,2024,9,Q2,Beverages,24462,28.28,24319,28.19,691785.36,685552.61,0.58,401235.51,0.5831326632661586,399768.12
Oct-24,2024,10,Q3,Beverages,27195,28.34,29834,28.62,770706.3,853849.08,0.58,447009.65,0.5800613614797094,495284.86
Nov-24,2024,11,Q3,Beverages,26050,28.39,27606,28.67,739559.5,791464.02,0.58,428944.51,0.5771849543994982,456821.12
Dec-24,2024,12,Q3,Beverages,24890,28.45,24363,28.57,708120.5,696050.91,0.58,410709.89,0.563015551095395,391887.49
Jan-25,2025,1,Q4,Beverages,22398,28.5,19835,28.36,638343.0,562520.6,0.58,370238.94,0.5749522561268157,323422.49
Feb-25,2025,2,Q4,Beverages,23850,28.56,23950,28.28,681156.0,677306.0,0.58,395070.48,0.5758874258016787,390052.01
Mar-25,2025,3,Q4,Beverages,27183,28.62,26461,28.65,777977.46,758107.65,0.58,451226.93,0.5703726727693406,432403.89
Apr-24,2024,4,Q1,Dairy Products,15000,55.0,15222,55.05,825000.0,837971.1,0.68,561000.0,0.678064571460008,568198.51
May-24,2024,5,Q1,Dairy Products,15392,55.11,15356,55.03,848253.12,845040.68,0.68,576812.12,0.6848486102817745,578724.94
Jun-24,2024,6,Q1,Dairy Products,15180,55.22,14731,55.02,838239.6,810499.62,0.68,570002.93,0.7026342308145264,569484.78
Jul-24,2024,7,Q2,Dairy Products,14965,55.33,14827,55.62,828013.45,824677.74,0.68,563049.15,0.7070949337539821,583125.45
Aug-24,2024,8,Q2,Dairy Products,15053,55.44,15156,54.95,834538.32,832822.2,0.68,567486.06,0.7080906046886732,589713.58
Sep-24,2024,9,Q2,Dairy Products,15450,55.55,15550,55.44,858247.5,862092.0,0.68,583608.3,0.6791066490108061,585452.41
Oct-24,2024,10,Q3,Dairy Products,17094,55.66,17888,56.22,951452.04,1005663.36,0.68,646987.39,0.6569747454164115,660695.43
Nov-24,2024,11,Q3,Dairy Products,17974,55.77,19272,56.33,1002409.98,1085591.76,0.68,681638.79,0.6796818334946094,737857.0
Dec-24,2024,12,Q3,Dairy Products,16506,55.88,16846,56.14,922355.28,945734.44,0.68,627201.59,0.6807227625192923,643782.96
Jan-25,2025,1,Q4,Dairy Products,15494,55.99,13839,55.71,867509.06,770970.69,0.68,589906.16,0.7095589053498235,547049.12
Feb-25,2025,2,Q4,Dairy Products,15423,56.1,15328,56.19,865230.3,861280.32,0.68,588356.6,0.6776916684226266,583682.5
Mar-25,2025,3,Q4,Dairy Products,15990,56.21,16302,56.08,898797.9,914216.16,0.68,611182.57,0.6836185681080034,624975.14
Apr-24,2024,4,Q1,Bakery Items,12000,38.0,11955,37.79,456000.0,451779.45,0.6,273600.0,0.599583458763537,270879.49
May-24,2024,5,Q1,Bakery Items,11831,38.08,11548,38.23,450524.48,441480.04,0.6,270314.69,0.5859758635485656,258696.65
Jun-24,2024,6,Q1,Bakery Items,11537,38.15,11850,38.14,440136.55,451959.0,0.6,264081.93,0.6137138737741802,277373.51
Jul-24,2024,7,Q2,Bakery Items,10994,38.23,10115,37.85,420300.62,382852.75,0.6,252180.37,0.6340231963922413,242737.52
Aug-24,2024,8,Q2,Bakery Items,11305,38.3,10256,37.92,432981.5,388907.52,0.6,259788.9,0.6344923833645165,246758.86
